CodCliente,Fecha,FechaTS,Cantidad,FormaIngreso,Medida,Temporada,Sintetico
137,2011-10-21 11:24:00,2011-10-21,184.0,HUMEDO,LATAS,1,False
46,2011-10-21 11:29:00,2011-10-21,13.0,HUMEDO,LATAS,1,False
230,2011-10-21 11:32:00,2011-10-21,42.75,HUMEDO,LATAS,1,False
137,2011-10-21 11:34:00,2011-10-21,63.25,HUMEDO,LATAS,1,False
251,2011-10-21 11:40:00,2011-10-21,80.75,HUMEDO,LATAS,1,False
251,2011-10-21 11:42:00,2011-10-21,53.0,HUMEDO,LATAS,1,False
137,2011-10-21 11:44:00,2011-10-21,46.5,HUMEDO,LATAS,1,False
54,2011-10-21 11:47:00,2011-10-21,275.75,HUMEDO,LATAS,1,False
251,2011-10-21 11:49:00,2011-10-21,78.0,HUMEDO,LATAS,1,False
137,2011-10-21 11:51:00,2011-10-21,90.0,HUMEDO,LATAS,1,False
46,2011-10-21 11:52:00,2011-10-21,2.25,HUMEDO,LATAS,1,False
125,2011-10-21 11:55:00,2011-10-21,60.0,HUMEDO,LATAS,1,False
137,2011-10-24 13:38:00,2011-10-24,4.25,HUMEDO,LATAS,1,False
54,2011-10-24 09:23:00,2011-10-24,27.25,HUMEDO,LATAS,1,False
46,2011-10-24 09:22:00,2011-10-24,6.0,HUMEDO,LATAS,1,False
46,2011-10-24 09:20:00,2011-10-24,12.0,HUMEDO,LATAS,1,False
46,2011-10-24 09:17:00,2011-10-24,28.0,HUMEDO,LATAS,1,False
234,2011-10-25 14:21:00,2011-10-25,33.0,HUMEDO,LATAS,1,False
177,2011-10-25 11:20:00,2011-10-25,14.75,HUMEDO,LATAS,1,False
125,2011-10-25 11:18:00,2011-10-25,6.0,HUMEDO,LATAS,1,False
177,2011-10-25 11:16:00,2011-10-25,23.5,HUMEDO,LATAS,1,False
251,2011-10-25 11:15:00,2011-10-25,80.5,HUMEDO,LATAS,1,False
251,2011-10-25 11:13:00,2011-10-25,38.0,HUMEDO,LATAS,1,False
137,2011-10-25 11:12:00,2011-10-25,94.0,HUMEDO,LATAS,1,False
125,2011-10-25 11:10:00,2011-10-25,20.0,HUMEDO,LATAS,1,False
137,2011-10-25 11:08:00,2011-10-25,154.0,HUMEDO,LATAS,1,False
237,2011-10-25 10:27:00,2011-10-25,5.25,HUMEDO,LATAS,1,False
251,2011-10-25 09:06:00,2011-10-25,9.5,HUMEDO,LATAS,1,False
251,2011-10-25 08:59:00,2011-10-25,100.25,HUMEDO,LATAS,1,False
251,2011-10-25 08:57:00,2011-10-25,33.0,HUMEDO,LATAS,1,False
54,2011-10-25 08:32:00,2011-10-25,32.0,HUMEDO,LATAS,1,False
137,2011-10-25 08:49:00,2011-10-25,149.0,HUMEDO,LATAS,1,False
237,2011-10-25 08:43:00,2011-10-25,24.75,HUMEDO,LATAS,1,False
125,2011-10-25 08:42:00,2011-10-25,28.0,HUMEDO,LATAS,1,False
251,2011-10-25 08:40:00,2011-10-25,79.25,HUMEDO,LATAS,1,False
125,2011-10-25 08:39:00,2011-10-25,9.0,HUMEDO,LATAS,1,False
234,2011-10-25 08:37:00,2011-10-25,12.75,HUMEDO,LATAS,1,False
46,2011-10-25 08:31:00,2011-10-25,8.75,HUMEDO,LATAS,1,False
46,2011-10-25 08:29:00,2011-10-25,21.5,HUMEDO,LATAS,1,False
251,2011-10-25 08:26:00,2011-10-25,56.5,HUMEDO,LATAS,1,False
118,2011-10-25 08:24:00,2011-10-25,10.5,HUMEDO,LATAS,1,False
137,2011-10-25 08:18:00,2011-10-25,184.5,HUMEDO,LATAS,1,False
54,2011-10-25 08:54:00,2011-10-25,9.5,HUMEDO,LATAS,1,False
46,2011-10-26 16:30:00,2011-10-26,54.75,HUMEDO,LATAS,1,False
125,2011-10-26 10:13:00,2011-10-26,61.75,HUMEDO,LATAS,1,False
54,2011-10-26 08:57:00,2011-10-26,3.19,SECO,QUINTALES,1,False
54,2011-10-26 08:55:00,2011-10-26,8.75,HUMEDO,LATAS,1,False
54,2011-10-26 08:37:00,2011-10-26,129.25,HUMEDO,LATAS,1,False
114,2011-10-27 17:10:00,2011-10-27,83.25,HUMEDO,LATAS,1,False
267,2011-10-27 15:41:00,2011-10-27,157.0,HUMEDO,LATAS,1,False
267,2011-10-27 15:36:00,2011-10-27,18.75,HUMEDO,LATAS,1,False
267,2011-10-27 15:28:00,2011-10-27,6.25,HUMEDO,LATAS,1,False
267,2011-10-27 15:25:00,2011-10-27,5.5,HUMEDO,LATAS,1,False
267,2011-10-27 15:22:00,2011-10-27,100.0,HUMEDO,LATAS,1,False
267,2011-10-27 15:34:00,2011-10-27,3.25,HUMEDO,LATAS,1,False
54,2011-10-27 13:22:00,2011-10-27,136.5,HUMEDO,LATAS,1,False
247,2011-10-27 12:20:00,2011-10-27,31.75,HUMEDO,LATAS,1,False
114,2011-10-27 12:19:00,2011-10-27,27.5,HUMEDO,LATAS,1,False
114,2011-10-27 12:17:00,2011-10-27,27.5,HUMEDO,LATAS,1,False
177,2011-10-27 12:11:00,2011-10-27,27.5,HUMEDO,LATAS,1,False
177,2011-10-27 12:07:00,2011-10-27,27.5,HUMEDO,LATAS,1,False
267,2011-10-27 15:00:00,2011-10-27,10.5,HUMEDO,LATAS,1,False
125,2011-10-28 15:16:00,2011-10-28,54.0,HUMEDO,LATAS,1,False
125,2011-10-28 13:32:00,2011-10-28,39.25,HUMEDO,LATAS,1,False
46,2011-10-28 10:14:00,2011-10-28,7.0,HUMEDO,LATAS,1,False
237,2011-10-28 09:04:00,2011-10-28,21.75,HUMEDO,LATAS,1,False
137,2011-10-28 08:59:00,2011-10-28,150.25,HUMEDO,LATAS,1,False
46,2011-10-28 10:13:00,2011-10-28,26.0,HUMEDO,LATAS,1,False
251,2011-10-29 13:50:00,2011-10-29,84.25,HUMEDO,LATAS,1,False
54,2011-10-29 16:38:00,2011-10-29,116.25,HUMEDO,LATAS,1,False
54,2011-10-29 13:57:00,2011-10-29,91.25,HUMEDO,LATAS,1,False
251,2011-10-29 13:48:00,2011-10-29,83.75,HUMEDO,LATAS,1,False
46,2011-10-29 08:32:00,2011-10-29,48.75,HUMEDO,LATAS,1,False
125,2011-10-29 13:16:00,2011-10-29,50.0,HUMEDO,LATAS,1,False
114,2011-10-29 13:13:00,2011-10-29,64.25,HUMEDO,LATAS,1,False
251,2011-10-29 13:22:00,2011-10-29,80.0,HUMEDO,LATAS,1,False
267,2011-10-31 15:15:00,2011-10-31,137.75,HUMEDO,LATAS,1,False
137,2011-10-31 16:58:00,2011-10-31,166.5,HUMEDO,LATAS,1,False
177,2011-10-31 16:53:00,2011-10-31,4.0,HUMEDO,LATAS,1,False
251,2011-10-31 16:50:00,2011-10-31,26.25,HUMEDO,LATAS,1,False
291,2011-10-31 16:45:00,2011-10-31,245.25,HUMEDO,LATAS,1,False
137,2011-10-31 16:43:00,2011-10-31,45.75,HUMEDO,LATAS,1,False
227,2011-10-31 16:39:00,2011-10-31,5.0,HUMEDO,LATAS,1,False
54,2011-10-31 16:29:00,2011-10-31,162.5,HUMEDO,LATAS,1,False
125,2011-10-31 12:53:00,2011-10-31,46.0,HUMEDO,LATAS,1,False
46,2011-10-31 08:08:00,2011-10-31,11.0,HUMEDO,LATAS,1,False
251,2011-10-31 16:41:00,2011-10-31,47.0,HUMEDO,LATAS,1,False
193,2011-11-01 15:06:00,2011-11-01,27.5,HUMEDO,LATAS,1,False
177,2011-11-01 15:09:00,2011-11-01,13.25,HUMEDO,LATAS,1,False
125,2011-11-01 15:07:00,2011-11-01,54.75,HUMEDO,LATAS,1,False
193,2011-11-01 15:02:00,2011-11-01,17.5,HUMEDO,LATAS,1,False
118,2011-11-01 14:51:00,2011-11-01,64.5,HUMEDO,LATAS,1,False
234,2011-11-01 14:59:00,2011-11-01,1.25,HUMEDO,LATAS,1,False
193,2011-11-01 14:49:00,2011-11-01,43.75,HUMEDO,LATAS,1,False
230,2011-11-01 14:45:00,2011-11-01,5.0,HUMEDO,LATAS,1,False
175,2011-11-01 14:29:00,2011-11-01,89.5,HUMEDO,LATAS,1,False
54,2011-11-02 07:34:00,2011-11-02,60.25,HUMEDO,LATAS,1,False
251,2011-11-02 07:49:00,2011-11-02,18.25,HUMEDO,LATAS,1,False
251,2011-11-02 07:51:00,2011-11-02,6.75,HUMEDO,LATAS,1,False
237,2011-11-02 07:53:00,2011-11-02,15.5,HUMEDO,LATAS,1,False
282,2011-11-03 09:04:00,2011-11-03,58.5,HUMEDO,LATAS,1,False
338,2011-11-03 09:40:00,2011-11-03,12.0,HUMEDO,LATAS,1,False
338,2011-11-03 09:43:00,2011-11-03,4.0,HUMEDO,LATAS,1,False
193,2011-11-03 09:46:00,2011-11-03,19.75,HUMEDO,LATAS,1,False
